id,F Name,L Name,Gender,Location,Categories,Hit count,Total Views
32,Pari,Lal,Male,Chhattisgarh,"[""Prime Minister's Office"", 'Ministry of External Affairs']",71,20
33,Eva,Kapoor,Female,Lakshadweep,"['Ministry of Defence', 'Ministry of Steel', 'Ministry of Coal']",5,34
34,Saanvi,Chawla,Male,Mizoram,"['Ministry of Petroleum and Natural Gases', 'Ministry of Communications']",15,71
35,Anika,Ahluwalia,Male,Gujarat,"['Ministry of Culture', 'Ministry of Law and Justice']",75,17
36,Aarav,Thakur,Female,Andhra Pradesh,"['Ministry of Agriculture and Farmers Welfare', 'Ministry of Petroleum and Natural Gases']",72,47
37,Vivaan,Khatri,Female,Jammu and Kashmir,"['Ministry of Coal', 'Ministry of Power', 'Ministry of Culture']",69,31
38,Ishaan,Kohli,Male,Karnataka,['Ministry of Defence'],92,38
39,Diya,Balakrishna,Female,Telangana,"['Ministry of Steel', 'Ministry of Culture']",66,93
40,Diya,Ganguly,Female,Andhra Pradesh,"[""Prime Minister's Office""]",70,23
41,Vihaan,Jain,Female,Arunachal Pradesh,"['Ministry of Steel', ""Prime Minister's Office"", 'Ministry of Agriculture and Farmers Welfare', 'Ministry of Information and Broadcasting']",54,49
42,Angel,Dubey,Female,Kerala,"['Ministry of Youth Affairs and Sports', 'Ministry of Culture', 'Ministry of Communications', 'Ministry of Company Affairs']",4,83
43,Shaurya,Ahuja,Male,Manipur,['Department of Atomic Energies'],56,44
44,Pranav,Khurana,Male,Mizoram,"['Ministry of Tourism', 'UPSC']",27,27
45,Anya,Saraf,Male,Himachal Pradesh,"['Ministry of Defence', 'UPSC']",87,96
46,Vivaan,Dalal,Male,Gujarat,['Ministry of Agriculture and Farmers Welfare'],44,69
47,Aarav,Balakrishna,Male,Tripura,"['Ministry of Civil Aviation', 'Ministry of Information and Broadcasting', 'Ministry of Communications']",41,18
48,Aditya,Mannan,Female,Karnataka,"['Ministry of Civil Aviation', 'Ministry of Steel', 'Ministry of Law and Justice']",27,95
49,Riya,Malhotra,Male,Tripura,"['AYUSH', 'Ministry of Science and Technology', 'Ministry of Youth Affairs and Sports']",53,82
50,Aadhya,Naidu,Female,Arunachal Pradesh,"['Ministry of Defence', 'Ministry of Information and Broadcasting', 'Ministry of Agriculture and Farmers Welfare', 'Ministry of Law and Justice']",49,63
51,Advik,Kohli,Female,Maharashtra,"['AYUSH', ""Prime Minister's Office""]",94,35
52,Anya,Dubey,Female,West Bengal,"['Ministry of Petroleum and Natural Gases', 'Ministry of Civil Aviation']",32,87
53,Anika,Bedi,Female,Haryana,"['Ministry of Commerce and Industry', 'Ministry of Housing and Urban Affairs', 'Ministry of Tribal Affairs', 'Ministry of Tourism']",19,19
54,Aaryan,Modi,Male,Nagaland,['Ministry of Culture'],89,74
55,Vivaan,Bajwa,Male,Chandigarh,"['Ministry of Tourism', 'Ministry of Steel', 'Ministry of Civil Aviation', 'Ministry of Agriculture and Farmers Welfare']",19,34
56,Arjun,Singh,Male,Rajasthan,"['Ministry of Housing and Urban Affairs', 'Ministry of Agriculture and Farmers Welfare']",91,25
57,Aarav,Apte,Male,Daman and Diu,"['Ministry of Science and Technology', 'Ministry of Tribal Affairs']",36,74
58,Navya,Khanna,Male,Kerala,"['Ministry of Tourism', 'Ministry of Civil Aviation', 'Ministry of Culture', 'Ministry of Agriculture and Farmers Welfare']",72,72
59,Vivaan,Gill,Female,Lakshadweep,"['Ministry of Agriculture and Farmers Welfare', 'Ministry of Communications', 'Ministry of Information and Broadcasting', 'Ministry of Tourism']",84,97
60,Aditya,Bajwa,Others,Maharashtra,"['PM Speech', 'Ministry of Agriculture and Farmers Welfare']",21,42
61,Sara,Saraf,Male,Haryana,['Ministry of Housing and Urban Affairs'],88,45
62,Atharva,Chowdhury,Male,Jammu and Kashmir,"['Ministry of Steel', 'Ministry of Law and Justice', 'Ministry of Petroleum and Natural Gases']",74,90
63,Navya,Thakur,Male,Chandigarh,['Ministry of Agriculture and Farmers Welfare'],61,13
64,Shanaya,Jain,Male,Uttarakhand,"['UPSC', 'Ministry of Youth Affairs and Sports']",95,66
65,Kabir,Datta,Male,Delhi,"['PM Speech', 'Ministry of Commerce and Industry', 'Ministry of Coal']",23,36
66,Riya,Datta,Female,Daman and Diu,"['Ministry of Petroleum and Natural Gases', 'Ministry of Electronics and IT']",51,61
67,Vivaan,Biswas,Male,Punjab,['Ministry of Law and Justice'],8,14
68,Ananya,Gandhi,Female,Arunachal Pradesh,"['Ministry of Communications', 'UPSC']",33,86
69,Shaurya,Dewan,Male,Assam,"['Ministry of Tourism', 'Ministry of Information and Broadcasting', 'Ministry of Communications', 'Ministry of Petroleum and Natural Gases']",21,57
70,Arnav,Thakur,Male,Haryana,['Ministry of Agriculture and Farmers Welfare'],28,71
71,Anaya,Bajwa,Female,Jammu and Kashmir,['Ministry of Communications'],46,35
72,Akshara,Ganguly,Others,Jharkhand,"['Ministry of Housing and Urban Affairs', 'Ministry of Civil Aviation', 'Ministry of Power']",98,44
73,Ahana,Lal,Male,Rajasthan,"['Ministry of Civil Aviation', 'Ministry of Science and Technology', 'Ministry of Agriculture and Farmers Welfare', 'Ministry of Company Affairs']",18,41
74,Akshara,Ahluwalia,Male,Arunachal Pradesh,"['Ministry of Power', 'Ministry of Tourism', 'Ministry of Commerce and Industry', 'Ministry of External Affairs']",87,37
75,Anaya,Mehta,Female,Jammu and Kashmir,"['UPSC', 'Ministry of Tourism', 'Department of Atomic Energies', 'Ministry of Commerce and Industry']",15,85
76,Aayan,Khurana,Male,Karnataka,"['Ministry of Information and Broadcasting', 'Ministry of Youth Affairs and Sports', 'Ministry of Coal']",78,24
77,Siya,Kumar,Male,Tamil Nadu,"['AYUSH', 'Ministry of Company Affairs', 'Ministry of Coal']",17,62
78,Advaith,Das,Male,Chhattisgarh,"['Ministry of Tourism', 'Ministry of Power', ""Prime Minister's Office"", 'Ministry of Information and Broadcasting']",8,61
79,Angel,Chawla,Female,Uttarakhand,"['Ministry of Steel', 'AYUSH', 'Ministry of Youth Affairs and Sports']",78,35
80,Navya,Ganguly,Female,Goa,"['Ministry of Power', 'Ministry of Petroleum and Natural Gases', 'Ministry of Law and Justice']",32,75
81,Anika,Gupta,Female,West Bengal,['Ministry of Commerce and Industry'],44,61
82,Veer,Gokhale,Female,Daman and Diu,"['Ministry of Communications', 'PM Speech', 'Ministry of Power']",11,84
83,Iraa,Ahuja,Female,Assam,"['Department of Atomic Energies', 'Ministry of Commerce and Industry', 'Ministry of External Affairs', 'Ministry of Electronics and IT']",89,47
84,Anya,Basu,Male,Daman and Diu,"['Ministry of Coal', 'Ministry of Youth Affairs and Sports', 'Ministry of External Affairs']",23,4
85,Shaurya,Lal,Female,Telangana,['Ministry of Youth Affairs and Sports'],97,3
86,Saanvi,Kaur,Male,Haryana,"['Ministry of Power', 'Ministry of Communications', 'Ministry of Youth Affairs and Sports', 'PM Speech']",75,56
87,Ishaan,Purohit,Male,Jammu and Kashmir,['Department of Atomic Energies'],96,27
88,Myra,Malhotra,Male,Jammu and Kashmir,['Department of Atomic Energies'],11,79
89,Kabir,Gupta,Female,Punjab,"['Ministry of Power', 'Ministry of Defence']",5,42
90,Aadhya,Bedi,Male,Himachal Pradesh,"['Ministry of Law and Justice', 'Ministry of Housing and Urban Affairs', 'UPSC', 'Ministry of Agriculture and Farmers Welfare']",5,71
91,Aadhya,Khatri,Male,Telangana,"['Ministry of Civil Aviation', 'Ministry of Steel']",40,56
92,Reyansh,Kumar,Male,Nagaland,"['Ministry of Tourism', 'Ministry of Company Affairs', 'Ministry of Information and Broadcasting', 'Ministry of Electronics and IT']",33,47
93,Arnav,Ahluwalia,Male,Jammu and Kashmir,"['Ministry of Power', 'Ministry of Law and Justice', 'Ministry of Defence']",97,25
94,Advaith,Kapoor,Male,Andaman and Nicobar Islands,"['PM Speech', 'Ministry of Defence', 'Ministry of Tribal Affairs', 'UPSC']",92,79
95,Arnav,Mani,Female,Jammu and Kashmir,"['Ministry of Law and Justice', 'Ministry of Housing and Urban Affairs', 'Ministry of Tourism']",59,75
96,Anaya,Dubey,Male,Manipur,"['Ministry of Electronics and IT', 'Ministry of External Affairs', 'Ministry of Power']",88,72
97,Diya,Mani,Female,Andhra Pradesh,"['Ministry of Petroleum and Natural Gases', 'Ministry of Civil Aviation', 'Ministry of External Affairs', 'Ministry of Company Affairs']",23,77
98,Anaya,Singh,Male,Tamil Nadu,"['Ministry of Defence', 'Ministry of Youth Affairs and Sports', 'Ministry of Law and Justice']",16,77
99,Ishaan,Kohli,Male,Arunachal Pradesh,['Ministry of Steel'],3,32
100,Aarush,Chawla,Male,Nagaland,"['UPSC', 'Ministry of Agriculture and Farmers Welfare']",27,28
101,Ananya,Ganguly,Male,Andhra Pradesh,"['Ministry of Culture', 'Ministry of Civil Aviation', 'Ministry of Tourism', 'Ministry of Electronics and IT']",41,66
102,Anya,Ahluwalia,Male,Uttarakhand,['Ministry of Tribal Affairs'],55,69
103,Krishna,Khurana,Male,Madhya Pradesh,['Ministry of Civil Aviation'],11,40
104,Ananya,Bedi,Female,Bihar,['Ministry of Tribal Affairs'],75,40
105,Siya,Dubey,Female,Uttar Pradesh,"['Ministry of Steel', 'Ministry of Agriculture and Farmers Welfare', 'Ministry of Science and Technology', 'Ministry of Tribal Affairs']",64,91
106,Ananya,Ganguly,Female,Nagaland,"['Ministry of Information and Broadcasting', 'Ministry of Power', 'Ministry of Petroleum and Natural Gases', 'Ministry of Housing and Urban Affairs']",84,34
107,Diya,Dubey,Female,Uttarakhand,['Ministry of Company Affairs'],95,70
108,Reyansh,Bedi,Male,Daman and Diu,"['Ministry of Law and Justice', ""Prime Minister's Office"", 'Ministry of Petroleum and Natural Gases', 'Ministry of Coal']",2,75
109,Aarush,Gokhale,Female,Manipur,"['Ministry of Youth Affairs and Sports', 'Ministry of Commerce and Industry', 'Ministry of Information and Broadcasting']",44,46
110,Anvi,Ahuja,Male,Bihar,"['PM Speech', 'Ministry of External Affairs', 'Ministry of Agriculture and Farmers Welfare', 'Ministry of Power']",76,61
111,Kyra,Bedi,Male,Bihar,"['AYUSH', 'Ministry of Company Affairs', 'Ministry of Petroleum and Natural Gases']",95,44
112,Dhruv,Kapoor,Female,Andhra Pradesh,"['Ministry of Power', 'Ministry of Petroleum and Natural Gases']",31,28
113,Kian,Lal,Female,Dadra and Nagar Haveli,"['UPSC', 'Ministry of Steel']",56,53
114,Ritvik,Dalal,Female,Chandigarh,"['Ministry of Youth Affairs and Sports', 'Ministry of Housing and Urban Affairs']",21,18
115,Anaya,Chawla,Male,Uttarakhand,"['Ministry of Information and Broadcasting', 'Department of Atomic Energies', 'UPSC']",86,37
116,Siya,Pal,Male,Jharkhand,"['AYUSH', 'Ministry of Petroleum and Natural Gases']",78,24
117,Shaurya,Khanna,Male,Daman and Diu,"['Ministry of Commerce and Industry', 'Ministry of Petroleum and Natural Gases', 'Ministry of Coal', 'Ministry of Defence']",85,20
118,Aditya,Singh,Female,Rajasthan,"['UPSC', 'Ministry of Communications', 'Ministry of External Affairs', 'AYUSH']",48,10
119,Reyansh,Bhasin,Female,Rajasthan,"['Ministry of Company Affairs', ""Prime Minister's Office"", 'Ministry of Steel']",66,45
120,Anya,Malhotra,Male,Telangana,"['Ministry of Petroleum and Natural Gases', 'Ministry of Company Affairs']",88,81
121,Vihaan,Lal,Female,Bihar,"['Ministry of Civil Aviation', 'Department of Atomic Energies', 'AYUSH']",6,73
122,Atharva,Biswas,Female,Dadra and Nagar Haveli,"['Ministry of Culture', 'Ministry of Housing and Urban Affairs', 'Ministry of Civil Aviation', 'Ministry of Communications']",2,46
123,Ahana,Gokhale,Female,Maharashtra,"['Ministry of Electronics and IT', 'Ministry of Coal', 'UPSC', 'Ministry of Company Affairs']",36,44
124,Advik,Mehta,Others,Kerala,"['Ministry of Coal', 'Ministry of Defence', ""Prime Minister's Office""]",32,21
125,Vivaan,Dubey,Male,Sikkim,['AYUSH'],88,70
126,Anvi,Kumar,Male,West Bengal,['Ministry of Communications'],57,45
127,Ritvik,Gandhi,Male,Madhya Pradesh,"[""Prime Minister's Office""]",34,94
128,Siya,Ahluwalia,Female,Manipur,"['UPSC', 'Ministry of Information and Broadcasting']",93,43
129,Aaryan,Khurana,Male,Gujarat,"['Ministry of Petroleum and Natural Gases', 'Ministry of Science and Technology', 'Ministry of Communications']",6,5
130,Kabir,Dubey,Male,Rajasthan,['Ministry of Information and Broadcasting'],66,69
131,Ananya,Bajwa,Female,Punjab,"['Ministry of Communications', 'Ministry of Agriculture and Farmers Welfare']",74,59
132,Ananya,Bedi,Female,Andaman and Nicobar Islands,['Ministry of External Affairs'],67,46
133,Anika,Gupta,Male,West Bengal,"['UPSC', 'Ministry of Tourism', 'Ministry of Youth Affairs and Sports', 'Ministry of Petroleum and Natural Gases']",59,1
134,Navya,Dewan,Female,West Bengal,"['Ministry of Power', 'Ministry of Petroleum and Natural Gases']",63,95
135,Anika,Ahuja,Female,Jammu and Kashmir,"[""Prime Minister's Office"", 'Ministry of Power', 'Ministry of Electronics and IT']",44,91
136,Eva,Ganguly,Male,Odisha,"['Department of Atomic Energies', 'UPSC']",64,94
137,Aarav,Singh,Female,Kerala,"['Ministry of Steel', 'Ministry of Culture']",97,93
138,Eva,Balakrishna,Male,Sikkim,"['Ministry of Science and Technology', 'Ministry of Coal', 'PM Speech']",28,7
139,Angel,Sachdev,Female,Lakshadweep,"['Ministry of Agriculture and Farmers Welfare', 'Ministry of Tribal Affairs', ""Prime Minister's Office""]",55,16
140,Kyra,Bhasin,Male,Himachal Pradesh,['Ministry of External Affairs'],16,64
141,Aaryan,Dalal,Male,Lakshadweep,"[""Prime Minister's Office"", 'Ministry of Youth Affairs and Sports']",86,90
142,Aarush,Bakshi,Female,Odisha,"['Ministry of Tribal Affairs', 'Ministry of Defence', ""Prime Minister's Office""]",44,81
143,Aadhya,Dalal,Others,Telangana,"['Ministry of Coal', 'Ministry of Housing and Urban Affairs']",22,55
144,Ishaan,Lal,Female,Arunachal Pradesh,"['Department of Atomic Energies', 'Ministry of Electronics and IT', 'Ministry of Tourism']",1,52
145,Riya,Das,Male,Karnataka,"['Ministry of Coal', 'Ministry of Information and Broadcasting', 'Ministry of Commerce and Industry']",30,85
146,Myra,Gill,Male,Andaman and Nicobar Islands,"['Ministry of Law and Justice', 'Ministry of Youth Affairs and Sports']",91,92
147,Pari,Bhasin,Female,Bihar,"['Ministry of Culture', 'UPSC', 'Ministry of External Affairs']",44,83
148,Shanaya,Bedi,Female,Andhra Pradesh,"['PM Speech', 'Ministry of Power', 'Ministry of Communications', 'Ministry of Agriculture and Farmers Welfare']",63,64
149,Ananya,Bhasin,Female,Mizoram,"['Department of Atomic Energies', 'Ministry of Youth Affairs and Sports']",26,48
150,Myra,Basu,Male,Dadra and Nagar Haveli,"['Ministry of Youth Affairs and Sports', 'Ministry of Commerce and Industry', 'Ministry of Agriculture and Farmers Welfare']",79,28
151,Aadhya,Bakshi,Female,Mizoram,['Ministry of Company Affairs'],18,72
152,Aayan,Chakrabarti,Female,Dadra and Nagar Haveli,"['Ministry of Power', 'Ministry of External Affairs', 'Ministry of Petroleum and Natural Gases']",3,59
153,Aaradhya,Das,Male,Goa,"['PM Speech', 'Ministry of Civil Aviation', 'Ministry of Company Affairs']",17,20
154,Anvi,Jha,Male,Jharkhand,"['Ministry of Petroleum and Natural Gases', 'Ministry of Law and Justice', 'Ministry of Electronics and IT', 'Ministry of Culture']",92,48
155,Sara,Singh,Female,Meghalaya,"['AYUSH', 'Ministry of Civil Aviation']",51,80
156,Aarohi,Dubey,Male,Punjab,"['Ministry of Civil Aviation', 'Ministry of Defence', 'Department of Atomic Energies']",29,85
157,Anya,Gill,Male,West Bengal,"['Ministry of Company Affairs', ""Prime Minister's Office"", 'PM Speech', 'Ministry of Housing and Urban Affairs']",31,97
158,Iraa,Bajwa,Female,Goa,['Ministry of Defence'],58,29
159,Anaya,Ahuja,Male,Odisha,"['AYUSH', 'Ministry of Housing and Urban Affairs']",11,45
160,Advaith,Chawla,Male,Goa,"['Ministry of Tourism', 'Ministry of Science and Technology', 'PM Speech', 'Ministry of External Affairs']",40,91
161,Pranav,Dewan,Female,Bihar,"['AYUSH', 'Ministry of Communications']",6,97
162,Aarohi,Jha,Female,Chandigarh,"['Ministry of External Affairs', 'Ministry of Power']",43,84
163,Ahana,Sachdev,Male,Sikkim,['Ministry of Youth Affairs and Sports'],34,18
164,Krishna,Lal,Female,Kerala,"[""Prime Minister's Office"", 'Ministry of Tourism', 'Ministry of Defence', 'Ministry of Youth Affairs and Sports']",98,72
165,Aarohi,Singh,Female,Tripura,"['Ministry of Youth Affairs and Sports', 'Ministry of Science and Technology']",2,88
166,Pranav,Das,Male,Andhra Pradesh,"['Ministry of Coal', 'UPSC']",48,18
167,Angel,Mehta,Female,Uttarakhand,"['Ministry of Commerce and Industry', 'PM Speech']",69,48
168,Pranav,Modi,Male,Odisha,"['Ministry of Petroleum and Natural Gases', 'Ministry of Law and Justice', 'Department of Atomic Energies']",17,58
169,Aayan,Ganguly,Female,Maharashtra,"['Ministry of Steel', 'Ministry of Tribal Affairs']",64,27
170,Kyra,Mannan,Male,Himachal Pradesh,"['Ministry of Agriculture and Farmers Welfare', 'Ministry of Company Affairs']",99,35
171,Angel,Singh,Female,Jammu and Kashmir,"['Ministry of Steel', 'Ministry of Culture', 'Ministry of Commerce and Industry']",19,62
172,Diya,Khurana,Male,Andaman and Nicobar Islands,"['Ministry of External Affairs', 'Ministry of Culture']",27,43
173,Aarav,Sachdev,Female,Kerala,"['Ministry of Power', ""Prime Minister's Office""]",38,67
174,Eva,Khanna,Male,Himachal Pradesh,"['Ministry of Company Affairs', 'Ministry of Law and Justice', 'Ministry of Tribal Affairs']",48,84
175,Aarav,Sachdev,Female,West Bengal,"['Ministry of Culture', 'Ministry of Petroleum and Natural Gases']",80,58
176,Vivaan,Khanna,Male,Nagaland,"[""Prime Minister's Office""]",67,77
177,Diya,Jain,Male,Kerala,"['Ministry of Science and Technology', 'Ministry of Power', 'Ministry of Culture', 'Ministry of Electronics and IT']",45,3
178,Atharva,Malhotra,Male,Kerala,"['Ministry of Steel', 'Ministry of External Affairs', ""Prime Minister's Office""]",33,81
179,Kabir,Parekh,Female,Maharashtra,['Ministry of Tourism'],24,82
180,Siya,Thakur,Male,Madhya Pradesh,"['Ministry of Law and Justice', 'Ministry of Commerce and Industry', 'Ministry of Electronics and IT', 'PM Speech']",72,10
181,Sai,Singh,Male,Puducherry,"['Ministry of Communications', 'Ministry of Information and Broadcasting']",17,73
182,Dhruv,Laghari,Male,Daman and Diu,"['Ministry of Youth Affairs and Sports', 'Ministry of Communications', 'PM Speech']",44,20
183,Diya,Gokhale,Female,Andhra Pradesh,['UPSC'],71,69
184,Darsh,Dubey,Male,Bihar,"['Ministry of Power', 'Ministry of Culture', 'Ministry of Information and Broadcasting', 'Ministry of Communications']",23,27
185,Kabir,Bajwa,Female,Delhi,"['Ministry of Electronics and IT', 'AYUSH', 'Ministry of Commerce and Industry']",98,28
186,Diya,Saraf,Male,Manipur,['AYUSH'],60,1
187,Anaya,Ray,Female,Delhi,"['Ministry of Coal', 'Ministry of Youth Affairs and Sports']",38,70
188,Shanaya,Das,Male,Telangana,"['Ministry of Steel', 'Ministry of Tribal Affairs']",49,19
189,Aditya,Gupta,Others,Assam,"['UPSC', 'Ministry of Agriculture and Farmers Welfare']",89,12
190,Ananya,Datta,Male,Himachal Pradesh,['Ministry of Tourism'],52,3
191,Advaith,Gandhi,Male,Jharkhand,"['Ministry of Petroleum and Natural Gases', ""Prime Minister's Office"", 'Ministry of Defence', 'Ministry of Coal']",19,57
192,Aaryan,Biswas,Male,Tripura,"['Ministry of External Affairs', 'Ministry of Petroleum and Natural Gases', 'AYUSH', 'Ministry of Commerce and Industry']",48,14
193,Myra,Dewan,Male,Chandigarh,['Ministry of Steel'],4,86
194,Navya,Kaur,Male,Nagaland,"['Ministry of Information and Broadcasting', 'AYUSH', 'Ministry of Civil Aviation']",83,26
195,Aarav,Lal,Male,Chhattisgarh,['Ministry of Agriculture and Farmers Welfare'],18,5
196,Kian,Gokhale,Male,Mizoram,['Ministry of Company Affairs'],77,29
197,Aaryan,Ahuja,Male,Goa,['Ministry of Commerce and Industry'],79,7
198,Ananya,Jha,Male,Chhattisgarh,['Ministry of Agriculture and Farmers Welfare'],16,92
199,Vivaan,Ahuja,Male,Daman and Diu,['Ministry of Information and Broadcasting'],43,82
200,Aadhya,Dalal,Female,Meghalaya,"['Ministry of Culture', 'Ministry of Petroleum and Natural Gases', 'Ministry of Tribal Affairs']",51,77
201,Aarush,Gupta,Male,Tamil Nadu,"['Ministry of Tourism', 'Ministry of Coal']",10,19
202,Kian,Datta,Male,Chandigarh,['Ministry of Housing and Urban Affairs'],8,84
203,Siya,Bhasin,Male,Bihar,['Ministry of Power'],76,61
204,Sai,Gandhi,Male,Andaman and Nicobar Islands,"['Ministry of Science and Technology', 'Ministry of Civil Aviation', 'Ministry of Company Affairs', 'Ministry of Electronics and IT']",87,79
205,Navya,Dewan,Male,Andaman and Nicobar Islands,"['Ministry of Company Affairs', 'Ministry of Power', 'Ministry of Tourism']",18,46
206,Aarohi,Chowdhury,Female,Assam,"['Ministry of Tribal Affairs', 'Ministry of Defence', 'Ministry of Petroleum and Natural Gases']",30,66
207,Vivaan,Malhotra,Male,Lakshadweep,"['Ministry of Steel', 'Ministry of Civil Aviation', 'Ministry of Culture', 'Ministry of Tourism']",10,34
208,Veer,Dubey,Male,Mizoram,['UPSC'],29,48
209,Aditya,Gandhi,Male,Kerala,"['Ministry of Communications', 'Ministry of Civil Aviation', 'Ministry of Steel', 'Ministry of Commerce and Industry']",6,81
210,Krishna,Dalal,Male,Bihar,"['AYUSH', 'Ministry of Civil Aviation']",41,73
211,Prisha,Chawla,Female,Karnataka,"['AYUSH', 'Ministry of Agriculture and Farmers Welfare', 'Ministry of Steel']",73,63
212,Anika,Ahluwalia,Male,Lakshadweep,['Ministry of External Affairs'],70,68
213,Aayan,Kulkarni,Male,Rajasthan,['Ministry of Civil Aviation'],43,89
214,Navya,Apte,Female,Maharashtra,"['Ministry of Civil Aviation', 'Ministry of Tourism', 'Ministry of Steel', 'Ministry of Commerce and Industry']",19,2
215,Ishaan,Ahuja,Male,Chandigarh,"['Ministry of Communications', 'Ministry of Information and Broadcasting']",49,41
216,Aaradhya,Ahluwalia,Female,Delhi,"['Ministry of Defence', 'Ministry of Information and Broadcasting', 'Ministry of Commerce and Industry', 'Ministry of Petroleum and Natural Gases']",24,29
217,Vivaan,Parekh,Male,Puducherry,"['UPSC', 'Ministry of Communications']",59,24
218,Aarav,Pal,Male,West Bengal,"['Ministry of Defence', 'Ministry of Company Affairs', 'Ministry of Housing and Urban Affairs', 'Ministry of Electronics and IT']",73,88
219,Aditya,Khanna,Female,Punjab,"['Ministry of Culture', 'Ministry of Tribal Affairs', 'Ministry of Civil Aviation']",5,3
220,Anya,Khurana,Female,Uttar Pradesh,"['Ministry of Steel', 'Ministry of Housing and Urban Affairs']",25,63
221,Sai,Sachdev,Female,Himachal Pradesh,"['Ministry of Coal', 'Ministry of Law and Justice']",87,54
222,Akshara,Kaur,Male,Telangana,"['AYUSH', 'Ministry of Tribal Affairs', 'Ministry of Company Affairs']",87,9
223,Vivaan,Kulkarni,Female,Uttar Pradesh,"['Ministry of Commerce and Industry', 'Ministry of Civil Aviation', 'UPSC']",62,14
224,Aaryan,Bhasin,Male,Karnataka,"['Ministry of Coal', 'Ministry of Communications', 'Ministry of Science and Technology', 'Ministry of Housing and Urban Affairs']",80,16
225,Anvi,Chandra,Male,Chhattisgarh,"['Ministry of Tourism', 'Ministry of Information and Broadcasting', 'Department of Atomic Energies', 'UPSC']",3,67
226,Vivaan,Anand,Male,Meghalaya,"['Ministry of Steel', 'Ministry of Civil Aviation', ""Prime Minister's Office""]",19,58
